Node,Closeness Centrality
0,0.7386839102320274
1,0.5345444536195981
2,0.49604086845466155
3,0.5209227467811158
4,0.5462728551336147
5,0.5895567698846388
6,0.5518613242398409
7,0.6881644223954642
8,0.5690008789920891
9,0.5097112860892389
10,0.4307897071872227
11,0.5418526785714286
12,0.6194577352472089
13,0.4980764298538087
14,0.5392946403776728
15,0.5521751492749503
16,0.5859987929993965
17,0.5733687629170358
18,0.5575653172552397
19,0.7152854511970534
20,0.5510783200908059
21,0.4486024486024486
22,0.5107837980010521
23,0.6087774294670847
24,0.6061173533083646
25,0.5653566229985444
26,0.48224484728085426
27,0.517590618
28,0.4329988851727982
29,0.49629440327114743
30,0.5493635077793494
31,0.5086432687270822
32,0.5478138222849083
33,0.5032391811350091
34,0.5062565172054223
35,0.5024579560155239
36,0.5926151968263655
37,0.5620839363241679
38,0.5275740287965227
39,0.5723548482169172
40,0.5281479466956758
41,0.5066527524132534
42,0.5132135306553911
43,0.49756597489110943
44,0.5214822771213748
45,0.581263095
46,0.5759193357058126
47,0.5048089420327528
48,0.5217624932831811
49,0.701336222
50,0.4756306637276512
51,0.6031055900621118
52,0.5202250200910795
53,0.6383957922419461
54,0.5561282932416953
55,0.6116535433070867
56,0.4961676034747062
57,0.4969293756397134
58,0.5430648769574944
59,0.49339430894308944
60,0.5020682523267839
61,0.5193902112864403
62,0.5738770685579196
63,0.6558595069233367
64,0.5282916213275299
65,0.5241565452091768
66,0.5242980561555075
67,0.5476593344613649
68,0.5632250580046404
69,0.5376522702104097
70,0.5908122908427137
71,0.6244372990353698
72,0.580221094
73,0.5673385918784691
74,0.5003864983251739
75,0.5448933782267116
76,0.6194577352472089
77,0.5046777546777547
78,0.5066527524132534
79,0.5270013568521031
80,0.5202250200910795
81,0.6365126188135037
82,0.5666763933469506
83,0.5038920601971977
84,0.5661807580174927
85,0.5383975602994178
86,0.5055975006508722
87,0.5586881472957422
88,0.4935196950444727
89,0.5136207352552234
90,0.5982747997535428
91,0.5456588929474572
92,0.5203644158628081
93,0.5716808949072711
94,0.5498301245753114
95,0.5942472460220318
96,0.6501506528289254
97,0.5370575221238938
98,0.5499858397054659
99,0.5772889417360285
100,0.4943991853360489
101,0.7594837700430191
102,0.5372060857538036
103,0.5917123705057892
104,0.5561282932416953
105,0.6055503585905831
106,0.5545402627070246
107,0.546119235
108,0.623835528
109,0.5163520340335017
110,0.47470056220972867
111,0.5564469914040114
112,0.5025879917184265
113,0.6614441416893733
114,0.47539779681762545
115,0.5526465566306203
116,0.5583668775158137
117,0.4987159732922445
118,0.5403450194769059
119,0.6712754925682682
120,0.5067849686847599
121,0.5136207352552234
122,0.5310363686081487
123,0.5535917901938426
124,0.7123991195891416
125,0.5655212580081538
126,0.5845875978326309
127,0.5540656205420827
128,0.5231681034482759
129,0.6441127694859038
130,0.595340282
131,0.5275740287965227
132,0.47750184411113844
133,0.5690008789920891
134,0.49961409827630565
135,0.6126182965299685
136,0.5567660550458715
137,0.5619212962962963
138,0.5594929415154134
139,0.5720176730486008
140,0.5348388873588543
141,0.5633884537278793
142,0.5554919908466819
143,0.5637155297532656
144,0.5244396435322711
145,0.5278608317477576
146,0.5962542216763893
147,0.5917123705057892
148,0.5482778091473743
149,0.6016109045848823
150,0.5673385918784691
151,0.5786650774731824
152,0.5322006029049055
153,0.42263329706202396
154,0.5830081056739718
155,0.5842358604091457
156,0.6163122818152967
157,0.4915211338901544
158,0.5132135306553911
159,0.5106494872469103
160,0.6242365798778527
161,0.570840682
162,0.5134849286092015
163,0.5203644158628081
164,0.5583668775158137
165,0.6122320302648171
166,0.509845104
167,0.5611095059231436
168,0.5908122908427137
169,0.5759193357058126
170,0.5733687629170358
171,0.55565093
172,0.5300218340611353
173,0.5920731707317073
174,0.45726395102425244
175,0.5200856989823246
176,0.5493635077793494
177,0.5205038863575449
178,0.5819598441714114
179,0.5097112860892389
180,0.5130779392338177
181,0.5535917901938426
182,0.641771315
183,0.6118462507876496
184,0.5459657014337925
185,0.5986436498150431
186,0.5280043501903209
187,0.6172917991099809
188,0.5696685244939865
189,0.4902802322645797
190,0.477267142
191,0.5467342342342343
192,0.6244372990353698
193,0.5401947148817803
194,0.4872052182639237
195,0.5219027143241064
196,0.5821342925659473
197,0.5471963933502395
198,0.5690008789920891
199,0.609159348
200,0.5693345060099677
201,0.5074470864907238
202,0.5947932618683002
203,0.6103079824010057
204,0.5075797177208573
205,0.5156664896441848
206,0.5797014925373134
207,0.5143008474576272
208,0.5660157388516468
209,0.5226049515608181
210,0.580394501
211,0.5731995277449823
212,0.47285122960798637
213,0.5015495867768595
214,0.6244372990353698
215,0.5339565576024196
216,0.5781482584102411
217,0.6070647077211628
218,0.6004947433518862
219,0.6236351958895312
220,0.6228351507376524
221,0.554698658
222,0.5778042249330556
223,0.5251487290427258
224,0.5196681830345197
225,0.571849234
226,0.5510783200908059
227,0.536464088
228,0.5966205837173579
229,0.4970565651394932
230,0.5591707457529513
231,0.6135860979462875
232,0.5852923447860157
233,0.5212023617820719
234,0.599567768
235,0.5160775976614403
236,0.5106494872469103
237,0.5196681830345197
238,0.5564469914040114
239,0.49528181586330017
240,0.5093102543928665
241,0.5660157388516468
242,0.5294438386041439
243,0.614168248
244,0.5598155087921591
245,0.5748963883955003
246,0.546426562
247,0.49528181586330017
248,0.5653566229985444
249,0.48879939592247673
250,0.4759803921568627
251,0.5502975347123831
252,0.4918946301925025
253,0.511725955
254,0.4695357833655706
255,0.5248648648648648
256,0.5271444082519001
257,0.5743862762496302
258,0.507182032
259,0.5891990291262136
260,0.5442825112107623
261,0.5638792102206737
262,0.6630249231819734
263,0.5933394439352276
264,0.5291553133514987
265,0.5735380980507974
266,0.5189738107963656
267,0.5517045454545455
268,0.5510783200908059
269,0.5733687629170358
270,0.5252907763051122
271,0.7333836858006042
272,0.545199326
273,0.5042846014022332
274,0.5596541786743516
275,0.5297326786688489
276,0.5078451882845189
277,0.5543819583214388
278,0.5622466705269253
279,0.5680023398654578
280,0.5280043501903209
281,0.4742368742368742
282,0.4989722507708119
283,0.5731995277449823
284,0.5351336456324056
285,0.5720176730486008
286,0.5501416430594901
